Time	u_1	var_u1	
0	1.5377	1	
0.01	2.8339	1	
0.02	-1.2589	1	
0.03	1.862	1	
0.04	1.3184	1	
0.05	-0.30818	1	
0.06	0.5657	1	
0.07	1.3417	1	
0.08	4.5771	1	
0.09	3.7678	1	
0.1	-0.35186	1	
0.11	4.0325	1	
0.12	1.7226	1	
0.13	0.93361	1	
0.14	1.7109	1	
0.15	0.7906	1	
0.16	0.87081	1	
0.17	2.484	1	
0.18	2.4026	1	
0.19	2.4101	1	
0.2	1.6636	1	
0.21	-0.21618	1	
0.22	1.7077	1	
0.23	2.6198	1	
0.24	1.4775	1	
0.25	2.0224	1	
0.26	1.7136	1	
0.27	0.6822	1	
0.28	1.2784	1	
0.29	0.19616	1	
0.3	1.8707	1	
0.31	-0.16598	1	
0.32	-0.089015	1	
0.33	0.16908	1	
0.34	-1.967	1	
0.35	2.4143	1	
0.36	1.2997	1	
0.37	0.21817	1	
0.38	2.3419	1	
0.39	-0.74139	1	
0.4	0.86634	1	
0.41	0.72555	1	
0.42	1.2846	1	
0.43	1.2766	1	
0.44	0.097148	1	
0.45	0.93024	1	
0.46	0.79364	1	
0.47	1.5844	1	
0.48	2.0481	1	
0.49	2.0623	1	
0.5	0.087404	1	
0.51	1.0265	1	
0.52	-0.26702	1	
0.53	-0.16844	1	
0.54	0.93614	1	
0.55	2.4735	1	
0.56	0.16907	1	
0.57	1.3079	1	
0.58	0.70874	1	
0.59	2.0494	1	
0.6	-0.15929	1	
0.61	0.96	1	
0.62	1.4776	1	
0.63	2.0233	1	
0.64	2.4644	1	
0.65	1.0037	1	
0.66	-0.57635	1	
0.67	0.17039	1	
0.68	-0.15148	1	
0.69	3.2579	1	
0.7	0.28923	1	
0.71	1.6502	1	
0.72	0.70699	1	
0.73	1.7853	1	
0.74	0.12899	1	
0.75	-0.51126	1	
0.76	-0.53424	1	
0.77	1.3734	1	
0.78	0.70492	1	
0.79	0.68326	1	
0.8	2.2956	1	
0.81	1.1648	1	
0.82	1.068	1	
0.83	2.4548	1	
0.84	0.059457	1	
0.85	1.5574	1	
0.86	1.6926	1	
0.87	0.61056	1	
0.88	1.0667	1	
0.89	-0.31817	1	
0.9	-0.30362	1	
0.91	0.94582	1	
0.92	1.5598	1	
0.93	3.4196	1	
0.94	0.16371	1	
0.95	1.0144	1	
0.96	0.74104	1	
0.97	-1.1131	1	
0.98	0.37737	1	
0.99	-0.98198	1	
1	1.6494	1	
1.01	-0.082724	1	
1.02	0.90166	1	
1.03	0.25327	1	
1.04	1.0975	1	
1.05	0.18983	1	
1.06	1.2763	1	
1.07	1.5218	1	
1.08	2.4904	1	
1.09	0.58038	1	
1.1	-1.3678	1	
1.11	-0.073096	1	
1.12	2.117	1	
1.13	-0.31379	1	
1.14	1.7152	1	
1.15	0.87416	1	
1.16	2.1826	1	
1.17	-1.2192	1	
1.18	0.53981	1	
1.19	-0.47459	1	
1.2	3.637	1	
1.21	1.5499	1	
1.22	2.0993	1	
1.23	-0.34224	1	
1.24	0.24292	1	
1.25	0.43464	1	
1.26	1.8011	1	
1.27	0.42029	1	
1.28	1.3952	1	
1.29	-1.3627	1	
1.3	0.3307	1	
1.31	-0.14363	1	
1.32	-0.90172	1	
1.33	1.1787	1	
1.34	0.948	1	
1.35	0.69479	1	
1.36	-0.67709	1	
1.37	1.7793	1	
1.38	0.99724	1	
1.39	0.34319	1	
1.4	0.66031	1	
1.41	0.37057	1	
1.42	-1.1225	1	
1.43	0.33714	1	
1.44	-0.21351	1	
1.45	-0.3663	1	
1.46	-0.54847	1	
1.47	0.069372	1	
1.48	-1.4047	1	
1.49	1.5571	1	
1.5	1.1078	1	
1.51	0.56266	1	
1.52	0.5428	1	
1.53	-0.22573	1	
1.54	1.586	1	
