Time	x_1	x_2	
0	0	0	
0.01	4.9833e-05	0.0099499	
0.02	0.00019866	0.019799	
0.03	0.00044549	0.029548	
0.04	0.00078929	0.039196	
0.05	0.0012291	0.048742	
0.06	0.0017638	0.058187	
0.07	0.0023925	0.067529	
0.08	0.003114	0.076769	
0.09	0.0039275	0.085906	
0.1	0.0048318	0.09494	
0.11	0.005826	0.10387	
0.12	0.0069089	0.1127	
0.13	0.0080796	0.12142	
0.14	0.009337	0.13004	
0.15	0.01068	0.13856	
0.16	0.012108	0.14697	
0.17	0.013619	0.15527	
0.18	0.015213	0.16348	
0.19	0.016889	0.17157	
0.2	0.018645	0.17956	
0.21	0.02048	0.18745	
0.22	0.022394	0.19523	
0.23	0.024385	0.20291	
0.24	0.026452	0.21048	
0.25	0.028595	0.21794	
0.26	0.030811	0.2253	
0.27	0.033101	0.23255	
0.28	0.035462	0.2397	
0.29	0.037895	0.24674	
0.3	0.040397	0.25367	
0.31	0.042968	0.2605	
0.32	0.045607	0.26723	
0.33	0.048312	0.27384	
0.34	0.051083	0.28036	
0.35	0.053919	0.28676	
0.36	0.056818	0.29306	
0.37	0.059779	0.29925	
0.38	0.062802	0.30534	
0.39	0.065885	0.31132	
0.4	0.069027	0.3172	
0.41	0.072228	0.32297	
0.42	0.075486	0.32864	
0.43	0.0788	0.3342	
0.44	0.082169	0.33965	
0.45	0.085592	0.345	
0.46	0.089069	0.35025	
0.47	0.092597	0.35539	
0.48	0.096176	0.36042	
0.49	0.099805	0.36535	
0.5	0.10348	0.37018	
0.51	0.10721	0.3749	
0.52	0.11098	0.37952	
0.53	0.1148	0.38403	
0.54	0.11866	0.38844	
0.55	0.12257	0.39274	
0.56	0.12652	0.39695	
0.57	0.13051	0.40105	
0.58	0.13454	0.40504	
0.59	0.13862	0.40894	
0.6	0.14273	0.41273	
0.61	0.14687	0.41642	
0.62	0.15106	0.42001	
0.63	0.15528	0.4235	
0.64	0.15953	0.42689	
0.65	0.16382	0.43017	
0.66	0.16814	0.43336	
0.67	0.17249	0.43644	
0.68	0.17687	0.43943	
0.69	0.18128	0.44232	
0.7	0.18571	0.44511	
0.71	0.19018	0.4478	
0.72	0.19467	0.45039	
0.73	0.19919	0.45288	
0.74	0.20373	0.45528	
0.75	0.20829	0.45758	
0.76	0.21288	0.45978	
0.77	0.21749	0.46189	
0.78	0.22212	0.4639	
0.79	0.22676	0.46582	
0.8	0.23143	0.46764	
0.81	0.23611	0.46937	
0.82	0.24082	0.471	
0.83	0.24553	0.47254	
0.84	0.25026	0.47398	
0.85	0.25501	0.47533	
0.86	0.25977	0.47659	
0.87	0.26454	0.47776	
0.88	0.26932	0.47883	
0.89	0.27411	0.47982	
0.9	0.27891	0.48071	
0.91	0.28372	0.48152	
0.92	0.28854	0.48223	
0.93	0.29336	0.48285	
0.94	0.29819	0.48339	
0.95	0.30303	0.48384	
0.96	0.30787	0.4842	
0.97	0.31271	0.48447	
0.98	0.31756	0.48465	
0.99	0.3224	0.48475	
1	0.32725	0.48477	
1.01	0.3321	0.48469	
1.02	0.33694	0.48454	
1.03	0.34179	0.48429	
1.04	0.34663	0.48397	
1.05	0.35147	0.48356	
1.06	0.3563	0.48307	
1.07	0.36113	0.48249	
1.08	0.36596	0.48183	
1.09	0.37077	0.48109	
1.1	0.37558	0.48028	
1.11	0.38038	0.47938	
1.12	0.38518	0.4784	
1.13	0.38996	0.47734	
1.14	0.39473	0.47621	
1.15	0.39949	0.475	
1.16	0.40424	0.47371	
1.17	0.40897	0.47234	
1.18	0.41369	0.4709	
1.19	0.41839	0.46939	
1.2	0.42308	0.4678	
1.21	0.42776	0.46614	
1.22	0.43241	0.46441	
1.23	0.43705	0.4626	
1.24	0.44167	0.46072	
1.25	0.44627	0.45877	
1.26	0.45085	0.45675	
1.27	0.45541	0.45467	
1.28	0.45995	0.45251	
1.29	0.46446	0.45028	
1.3	0.46896	0.44799	
1.31	0.47343	0.44563	
1.32	0.47787	0.44321	
1.33	0.48229	0.44071	
1.34	0.48669	0.43816	
1.35	0.49106	0.43554	
1.36	0.4954	0.43285	
1.37	0.49972	0.4301	
1.38	0.504	0.42729	
1.39	0.50826	0.42442	
1.4	0.51249	0.42149	
